,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,DEL,BOM,08:00:00,2,7800000000,10:10:00,2,,Go,Go First,4589.0,0.0,0.0
1,DEL,BOM,10:55:00,2,8100000000,13:10:00,2,,Go,Go First,4589.0,0.0,0.0
2,DEL,BOM,19:45:00,2,8100000000,22:00:00,2,,Go,Go First,4589.0,0.0,0.0
3,DEL,BOM,20:50:00,2,8100000000,23:05:00,2,,Go,Go First,4589.0,0.0,0.0
4,DEL,BOM,07:20:00,5,8100000000,09:35:00,5,,Sp,SpiceJet,4813.0,0.0,0.0
5,DEL,BOM,19:45:00,5,8100000000,22:00:00,5,,Sp,SpiceJet,4882.0,0.0,0.0
6,DEL,BOM,19:45:00,6,8100000000,22:00:00,6,,Sp,SpiceJet,4882.0,0.0,0.0
7,DEL,BOM,21:40:00,2,8100000000,23:55:00,2,,Sp,SpiceJet,4882.0,0.0,0.0
8,DEL,BOM,21:40:00,5,8100000000,23:55:00,5,,Sp,SpiceJet,4882.0,0.0,0.0
9,DEL,BOM,07:20:00,4,8100000000,09:35:00,4,,Sp,SpiceJet,4882.0,0.0,0.0
10,DEL,BOM,21:40:00,6,8100000000,23:55:00,6,,Sp,SpiceJet,4882.0,0.0,0.0
11,DEL,BOM,07:20:00,3,8100000000,09:35:00,3,,Sp,SpiceJet,4882.0,0.0,0.0
12,DEL,BOM,19:45:00,2,8100000000,22:00:00,2,,Sp,SpiceJet,4882.0,0.0,0.0
13,DEL,BOM,19:00:00,3,7800000000,21:10:00,3,,Sp,SpiceJet,4940.0,0.0,0.0
14,DEL,BOM,19:00:00,6,7800000000,21:10:00,6,,Sp,SpiceJet,4940.0,0.0,0.0
15,DEL,BOM,07:20:00,6,8100000000,09:35:00,6,,Sp,SpiceJet,4940.0,0.0,0.0
16,DEL,BOM,21:40:00,3,8100000000,23:55:00,3,,Sp,SpiceJet,4940.0,0.0,0.0
17,DEL,BOM,19:45:00,3,8100000000,22:00:00,3,,Sp,SpiceJet,4940.0,0.0,0.0
18,DEL,BOM,20:50:00,4,8100000000,23:05:00,4,,Go,Go First,5054.0,0.0,0.0
19,DEL,BOM,14:30:00,1,7800000000,16:40:00,1,,Go,Go First,5055.0,0.0,0.0
20,DEL,BOM,14:30:00,4,7800000000,16:40:00,4,,Go,Go First,5055.0,0.0,0.0
21,DEL,BOM,22:45:00,4,8100000000,01:00:00,4,,Go,Go First,5055.0,0.0,0.0
22,DEL,BOM,18:20:00,6,8100000000,20:35:00,6,,Go,Go First,5055.0,0.0,0.0
23,DEL,BOM,20:50:00,1,8100000000,23:05:00,1,,Go,Go First,5055.0,0.0,0.0
24,DEL,BOM,20:50:00,5,8100000000,23:05:00,5,,Go,Go First,5055.0,0.0,0.0
